kye_code,total_area_m2,area_m2_Nat,area_m2_Pref,area_m2_Muni,area_m2_Other
513243353_513243451,3304.8865597189624,1714.619991785213,833.4401467711705,756.8264211625792,0.0
513243354,41597.31355173903,13899.627203411272,19394.74776306025,8285.627937250876,17.310648016631603
513243354_513243363,2037.8778507374227,1539.92205927521,0.0,497.9557914622128,0.0
513243354_513243452,5574.930076330667,1521.8020301181823,2266.7672749969643,1786.3607712155208,0.0
513243361,29267.907745726316,15187.81113898236,9063.531254990201,5016.565351753754,0.0
513243361_513243362,3819.3918253332376,0.0,135.50893209781498,3683.8828932354227,0.0
513243361_513243363_513243364,2543.653745410964,2543.653745410964,0.0,0.0,0.0
513243362,46651.06363757365,11912.151094120229,17374.750011212716,13934.132057460374,3430.030474780331
513243362_513243364,5174.826945026201,0.0,2083.703306861804,2632.792857579101,458.33078058529645
513243362_513243364_513243373,1482.8840705819894,0.0,0.0,1482.8840705819894,0.0
513243362_513243371,774.8825649166247,0.0,0.0,774.8825649166247,0.0
513243363,12847.584225126426,5554.764269330539,2610.1437700088136,4682.676185787073,0.0
513243363_513243364,513.271830778569,0.0,513.271830778569,0.0,0.0
513243363_513243461,2938.1888513352023,1558.8428918417776,206.75743807619438,1172.5885214172304,0.0
513243364,49743.46016901851,19990.51388150305,15301.041704142699,11067.069743256463,3384.834840116295
513243364_513243373,1246.735830756952,0.0,102.44230429152958,987.8308008492459,156.4627256161766
513243364_513243461_513243462,14939.64877163386,14939.64877163386,0.0,0.0,0.0
513243364_513243462,7453.602929090266,5112.570166955935,814.0596200887812,1278.1421174707357,248.83102457481436
513243371,48602.79588115687,2580.5659451138927,11329.268204631866,32686.06973526167,2006.8919961494394
513243371_513243372,4611.3807409135625,974.816565085901,228.16153735946864,2978.5058335270733,429.8968049411196
513243371_513243373,5281.058552516159,0.0,1263.7126917466521,4017.3458607695065,0.0
513243372,14898.98779015831,12276.230185825378,1401.3705229808693,1051.2200521342456,170.1670292178169
513243372_513243374,7737.31543198158,7737.31543198158,0.0,0.0,0.0
513243373,41447.30000486509,3833.1506160261342,5402.171890914047,30373.993282222276,1837.9842157026287
513243373_513243374,1949.3938481599325,0.0,0.0,1949.3938481599325,0.0
513243373_513243471,6935.065241863827,6935.065241863827,0.0,0.0,0.0
513243374,35116.080506564664,5909.0872306356905,6873.811757905747,19360.2758885668,2972.9056294564252
513243374_513243381_513243383,3106.387602267787,0.0,0.0,3106.387602267787,0.0
513243374_513243383,2590.6521505322307,0.0,2590.6521505322307,0.0,0.0
513243374_513243472,12206.98333948994,12206.98333948994,0.0,0.0,0.0
513243374_513243472_513243481,1314.5830364687572,1314.5830364687572,0.0,0.0,0.0
513243381,83.23318891134113,0.0,0.0,83.23318891134113,0.0
513243381_513243383,925.2230220834608,0.0,0.0,925.2230220834608,0.0
513243381_513243383_513243384,1578.6158076592255,1578.6158076592255,0.0,0.0,0.0
513243382,10539.490297663782,8953.844733569771,615.1303981349338,970.5151659590774,0.0
513243382_513243384,4613.300375794584,3376.730853257235,0.0,1236.5695225373493,0.0
513243383,38561.44433461082,18242.842358101858,10020.715280914405,7125.2114603257,3172.675235268858
513243383_513243384,1521.953808445949,0.0,642.1256792568602,565.3702407423407,314.45788844674826
