linkid,youryou,mae,usiro,bunki,bunki_count,koutuuryou01_up,koutuuryou01_down,koutuuryou02_up,koutuuryou02_down,koutuuryou03_up,koutuuryou03_down,koutuuryou04_up,koutuuryou04_down,koutuuryou05_up,koutuuryou05_down,koutuuryou06_up,koutuuryou06_down,koutuuryou07_up,koutuuryou07_down,koutuuryou08_up,koutuuryou08_down,koutuuryou09_up,koutuuryou09_down,koutuuryou10_up,koutuuryou10_down,koutuuryou11_up,koutuuryou11_down,koutuuryou12_up,koutuuryou12_down,koutuuryou13_up,koutuuryou13_down,koutuuryou14_up,koutuuryou14_down,koutuuryou15_up,koutuuryou15_down,koutuuryou16_up,koutuuryou16_down,koutuuryou17_up,koutuuryou17_down,koutuuryou18_up,koutuuryou18_down,koutuuryou19_up,koutuuryou19_down,koutuuryou20_up,koutuuryou20_down,koutuuryou21_up,koutuuryou21_down,koutuuryou22_up,koutuuryou22_down,koutuuryou23_up,koutuuryou23_down,koutuuryou24_up,koutuuryou24_down,R00_up,R00_down,R01_up,R01_down,R02_up,R02_down,R03_up,R03_down,R04_up,R04_down,R05_up,R05_down,R06_up,R06_down,R07_up,R07_down,R08_up,R08_down,R09_up,R09_down,R10_up,R10_down,R11_up,R11_down,R12_up,R12_down,R13_up,R13_down,R14_up,R14_down,R15_up,R15_down,R16_up,R16_down,R17_up,R17_down,R18_up,R18_down,R19_up,R19_down,R20_up,R20_down,R21_up,R21_down,R22_up,R22_down,R23_up,R23_down
2629,600,2630,2065,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,4400,417,415,,0,54,54,56,56,39,39,42,42,50,50,54,54,149,149,956,956,1147,1147,1075,1075,1033,1033,954,954,866,866,918,918,901,901,917,917,943,943,993,993,901,901,419,419,269,269,182,182,132,132,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,800,2625,2629,8693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2631,600,2065,2632,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,300,2064,2631,2063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,1600,2634,2074,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,300,2073,2064,2633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,1000,2457,2639,,0,34,34,35,35,24,24,26,26,31,31,34,34,93,93,1033,1033,1204,1204,1104,1104,1020,1020,1010,1010,922,922,958,958,984,984,1034,1034,1068,1068,1124,1124,1040,1040,262,262,168,168,114,114,82,82,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636,2200,2639,2190,,0,67,67,70,70,49,49,53,53,62,62,67,67,186,186,910,910,1134,1134,1023,1023,977,977,900,900,812,812,861,861,864,864,851,851,886,886,939,939,854,854,524,524,336,336,227,227,165,165,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,400,2562,2639,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,2500,2639,2439,,0,34,34,35,35,24,24,26,26,31,31,34,34,93,93,1033,1033,1204,1204,1104,1104,1020,1020,1010,1010,922,922,958,958,984,984,1034,1034,1068,1068,1124,1124,1040,1040,262,262,168,168,114,114,82,82,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639,2500,2636,2635,2638;2637,2,34,34,35,35,24,24,26,26,31,31,34,34,93,93,1033,1033,1204,1204,1104,1104,1020,1020,1010,1010,922,922,958,958,984,984,1034,1034,1068,1068,1124,1124,1040,1040,262,262,168,168,114,114,82,82,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,2500,267,252,,0,54,54,56,56,39,39,42,42,50,50,54,54,149,149,956,956,1147,1147,1075,1075,1033,1033,954,954,866,866,918,918,901,901,917,917,943,943,993,993,901,901,419,419,269,269,182,182,132,132,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2640,1200,527,2642,,0,53,53,55,55,38,38,42,42,48,48,53,53,146,146,715,715,891,891,804,804,768,768,707,707,638,638,676,676,679,679,669,669,696,696,738,738,671,671,411,411,264,264,178,178,130,130,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2641,4000,328,2646,323;2645,2,38,38,40,40,28,28,30,30,35,35,38,38,106,106,1010,1010,1173,1173,1121,1121,1069,1069,1008,1008,921,921,970,970,952,952,997,997,1020,1020,1069,1069,975,975,299,299,192,192,130,130,94,94,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,1200,2640,2648,329;2653,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2643,3500,,3248,326,1,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,2500,327,2651,331;2672,2,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,1650,2661,,2641,1,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,2500,2649,2641,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,1600,311,3234,,0,53,53,55,55,38,38,42,42,48,48,53,53,146,146,715,715,891,891,804,804,768,768,707,707,638,638,676,676,679,679,669,669,696,696,738,738,671,671,411,411,264,264,178,178,130,130,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,1200,3336,2642,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,3500,2655,332,2646;2657,2,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2500,395,267,,0,54,54,56,56,39,39,42,42,50,50,54,54,149,149,956,956,1147,1147,1075,1075,1033,1033,954,954,866,866,918,918,901,901,917,917,943,943,993,993,901,901,419,419,269,269,182,182,132,132,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,1600,2652,10215,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2651,2000,2644,2652,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,1600,2650,3204,2651;2671,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,1600,2658,2642,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,6,6,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2654,4400,3248,330,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,1156,1275,1275,1184,1184,1063,1063,1121,1121,1033,1033,1056,1056,1105,1105,1218,1218,1250,1250,1308,1308,1226,1226,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,2000,3252,2649,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,2000,3224,2658,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2657,2500,3234,2649,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,2500,2662,2656,2653;2670,2,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,3000,3248,2667,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1600,395,234,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,7,7,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,3,3,2,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660,2500,526,3336,,0,67,67,70,70,49,49,53,53,62,62,67,67,186,186,910,910,1134,1134,1023,1023,977,977,900,900,812,812,861,861,864,864,851,851,886,886,939,939,854,854,524,524,336,336,227,227,165,165,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,4400,3247,3249,2645;2668,2,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,1500,2658,2664,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2663,3000,3246,2667,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,2000,2662,2674,3335;2680,2,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,3500,319,3203,,0,54,54,56,56,39,39,42,42,50,50,54,54,149,149,956,956,1147,1147,1075,1075,1033,1033,954,954,866,866,918,918,901,901,917,917,943,943,993,993,901,901,419,419,269,269,182,182,132,132,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,800,3205,3207,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,3500,2669,2663,2659;2706,2,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,3300,,2661,2678,1,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,3000,2678,2667,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2000,282,265,264;274,2,54,54,56,56,39,39,42,42,50,50,54,54,149,149,956,956,1147,1147,1075,1075,1033,1033,954,954,866,866,918,918,901,901,917,917,943,943,993,993,901,901,419,419,269,269,182,182,132,132,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,1200,2682,2658,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,1200,2652,3208,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,4400,2644,2677,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,2500,3250,2683,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2674,1200,2664,3203,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2675,4400,3252,2684,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2676,3000,3222,2682,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677,2500,2690,2701,2672,1,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,3500,2681,2669,2668;2741,2,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,2500,3201,3205,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1500,273,261,,0,38,38,40,40,28,28,30,30,35,35,38,38,106,106,1010,1010,1173,1173,1121,1121,1069,1069,1008,1008,921,921,970,970,952,952,997,997,1020,1020,1069,1069,975,975,299,299,192,192,130,130,94,94,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,2500,2689,2664,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,2500,2678,2683,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,3500,2686,2676,2670;2692,2,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,3000,2696,2681,2673;2719,2,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2684,4400,2675,2685,3231;3230,2,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2685,3000,2693,2684,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,2000,2689,2682,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,1200,3197,3207,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,3000,3246,3258,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,3500,2680,2700,2686;2695,2,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,4400,549,226,,0,38,38,40,40,28,28,30,30,35,35,38,38,106,106,1010,1010,1173,1173,1121,1121,1069,1069,1008,1008,921,921,970,970,952,952,997,997,1020,1020,1069,1069,975,975,299,299,192,192,130,130,94,94,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,4400,2699,2677,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,1500,3262,2694,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,2500,2682,2702,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,4400,2698,2685,3221;2780,2,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,2000,2691,2710,3257;2714,2,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,2500,2689,2699,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,3000,2683,3229,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,2500,3242,3258,,0,19,19,20,20,14,14,15,15,18,18,19,19,53,53,1078,1078,1203,1203,1181,1181,1122,1122,1078,1078,992,992,1038,1038,1013,1013,1096,1096,1113,1113,1161,1161,1062,1062,150,150,96,96,65,65,47,47,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,4000,2693,2702,,0,57,57,59,59,41,41,45,45,52,52,57,57,158,158,972,972,1165,1165,1080,1080,1042,1042,958,958,879,879,914,914,920,920,926,926,950,950,1007,1007,926,926,462,462,294,294,197,197,143,143,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
