linkid,youryou,mae,usiro,bunki,bunki_count,koutuuryou01_up,koutuuryou01_down,koutuuryou02_up,koutuuryou02_down,koutuuryou03_up,koutuuryou03_down,koutuuryou04_up,koutuuryou04_down,koutuuryou05_up,koutuuryou05_down,koutuuryou06_up,koutuuryou06_down,koutuuryou07_up,koutuuryou07_down,koutuuryou08_up,koutuuryou08_down,koutuuryou09_up,koutuuryou09_down,koutuuryou10_up,koutuuryou10_down,koutuuryou11_up,koutuuryou11_down,koutuuryou12_up,koutuuryou12_down,koutuuryou13_up,koutuuryou13_down,koutuuryou14_up,koutuuryou14_down,koutuuryou15_up,koutuuryou15_down,koutuuryou16_up,koutuuryou16_down,koutuuryou17_up,koutuuryou17_down,koutuuryou18_up,koutuuryou18_down,koutuuryou19_up,koutuuryou19_down,koutuuryou20_up,koutuuryou20_down,koutuuryou21_up,koutuuryou21_down,koutuuryou22_up,koutuuryou22_down,koutuuryou23_up,koutuuryou23_down,koutuuryou24_up,koutuuryou24_down,R00_up,R00_down,R01_up,R01_down,R02_up,R02_down,R03_up,R03_down,R04_up,R04_down,R05_up,R05_down,R06_up,R06_down,R07_up,R07_down,R08_up,R08_down,R09_up,R09_down,R10_up,R10_down,R11_up,R11_down,R12_up,R12_down,R13_up,R13_down,R14_up,R14_down,R15_up,R15_down,R16_up,R16_down,R17_up,R17_down,R18_up,R18_down,R19_up,R19_down,R20_up,R20_down,R21_up,R21_down,R22_up,R22_down,R23_up,R23_down
10051,4400,9896,10053,10052,1,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052,4400,10059,9896,9784;10051,2,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053,3500,9896,9770,10051;10054,2,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10054,2000,9896,9786,10053,1,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055,2000,9786,10056,,0,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10056,1200,10055,10047,9799,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,4,4,2,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10057,1500,10058,9786,,0,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058,800,9774,9765,10057,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,11,11,10,10,10,10,9,9,8,8,8,8,8,8,9,9,9,9,9,9,9,9,4,4,2,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10059,1600,10060,10052,,0,53,53,55,55,38,38,42,42,48,48,53,53,146,146,715,715,891,891,804,804,768,768,707,707,638,638,676,676,679,679,669,669,696,696,738,738,671,671,411,411,264,264,178,178,130,130,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060,1200,10061,10059,10150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,894,944,944,1009,1009,988,988,917,917,851,851,900,900,826,826,926,926,922,922,952,952,857,857,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061,1200,10062,10060,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,1200,10061,10063,9770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10063,1600,10062,10064,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064,1200,10063,10069,9754;10065,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065,300,10066,10064,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10066,800,9751,10067,10065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067,1200,10068,10066,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068,800,9745,9761,10067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069,2500,10070,10064,,0,67,67,70,70,49,49,53,53,62,62,67,67,186,186,910,910,1134,1134,1023,1023,977,977,900,900,812,812,861,861,864,864,851,851,886,886,939,939,854,854,524,524,336,336,227,227,165,165,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10070,1500,9767,10069,9774,1,67,67,70,70,49,49,53,53,62,62,67,67,186,186,910,910,1134,1134,1023,1023,977,977,900,900,812,812,861,861,864,864,851,851,886,886,939,939,854,854,524,524,336,336,227,227,165,165,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10071,4400,10072,9896,,0,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10072,3500,9896,10073,10071,1,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10073,4400,10074,9896,9787;10072,2,44,44,46,46,32,32,34,34,40,40,44,44,122,122,1037,1037,1195,1195,1144,1144,1114,1114,1024,1024,952,952,976,976,977,977,1009,1009,1021,1021,1079,1079,999,999,376,376,237,237,157,157,114,114,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
